source,author,title,description,url,urlToImage,publishedAt,content,cleaned_description,sentiment
"{'id': None, 'name': 'Yahoo Entertainment'}",Steve Dent,AMD's latest updates address 9000X desktop CPU performance issues,"After arriving two weeks late, AMD's Ryzen 9000-series desktop processors disappointed some buyers and reviewers due to lackluster performance. Now, the company has addressed those issues with several new updates. 
The biggest speed brake for Ryzen 9000 deskt…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_62ab6ac5-1219-4c8f-8d77-d66768ca3699,,2024-09-30T13:00:38Z,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",arriving two weeks late amds ryzen series desktop processors disappointed buyers reviewers due lackluster performance company addressed issues several new updates biggest speed brake ryzen deskt,-0.2077272727272727
"{'id': 'the-verge', 'name': 'The Verge'}",Tom Warren,AMD improves Zen 5 CPU latency and performance with BIOS updates,AMD is bumping the performance of some of its Zen 5 desktop CPUs. A new BIOS update will also address some latency concerns with AMD’s latest CPUs.,https://www.theverge.com/2024/9/30/24258147/amd-zen-5-cpu-performance-latency-bios-updates,https://cdn.vox-cdn.com/thumbor/AcAa1rWT0qB3BuEclb5m7HO5qG0=/0x0:3840x2160/1200x628/filters:focal(1920x1080:1921x1081)/cdn.vox-cdn.com/uploads/chorus_asset/file/25474479/Ryzen_9000_7.png,2024-09-30T13:00:00Z,"AMD improves Zen 5 CPU latency and performance with BIOS updates
AMD improves Zen 5 CPU latency and performance with BIOS updates
 / Windows and BIOS updates are improving the Ryzen 9000-series per… [+2520 chars]",amd bumping performance zen desktop cpus new bios update also address latency concerns amds latest cpus,0.3181818181818182
"{'id': None, 'name': 'Gizmodo.com'}",Gizmodo Deals,"Amazon Crushes PS5 Prices, There’s No Need to Wait for Black Friday",It's the only time of the year to save on a PS5.,https://gizmodo.com/amazon-crushes-ps5-prices-theres-no-need-to-wait-for-black-friday-2000508812,https://gizmodo.com/app/uploads/2024/10/sony-ps5.jpg,2024-10-08T12:55:02Z,"Amazon has unveiled a fabulous Prime Day deal on the PlayStation 5 Slim with a massive discounts on both the Standard and Digital Edition consoles. The PS5 Slim Standard, typically priced at $499 is … [+2224 chars]",time year save ps,0.0
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,AMD Launches AI Chip To Rival Nvidia's Blackwell,"AMD is launching a new chip to rival Nvidia's upcoming Blackwell chips, which Nvidia called the ""world's most powerful chip"" for AI when unveiled earlier this year. CNBC reports: The Instinct MI325X, as the chip is called, will start production before the end…",https://tech.slashdot.org/story/24/10/10/2143241/amd-launches-ai-chip-to-rival-nvidias-blackwell,https://a.fsdn.com/sd/topics/amd_64.png,2024-10-11T00:45:00Z,"The Instinct MI325X, as the chip is called, will start production before the end of 2024, AMD said Thursday during an event announcing the new product. If AMD's AI chips are seen by developers and cl… [+1212 chars]",amd launching new chip rival nvidias upcoming blackwell chips nvidia called worlds powerful chip ai unveiled earlier year cnbc reports instinct mix chip called start production end,0.14545454545454545
"{'id': None, 'name': 'Gizmodo.com'}",Gizmodo Deals,"For Prime Day, Amazon Offers Record Low Prices on PS5 For Non-Prime Members as Well",We certainly won't see better deals before Christmas.,https://gizmodo.com/for-prime-day-amazon-offers-record-low-prices-on-ps5-for-non-prime-members-as-well-2000508067,https://gizmodo.com/app/uploads/2024/10/sony-ps5.jpg,2024-10-07T11:45:20Z,Amazon’s Prime Day event has brought a very rare treat for gaming enthusiasts: significant discounts on both the PlayStation 5 Slim Standard and Digital Edition consoles. What makes this deal even mo… [+2751 chars],certainly wont see better deals christmas,0.35714285714285715
"{'id': 'business-insider', 'name': 'Business Insider'}",Riddhi Kanetkar,TensorWave wants to break Nvidia's dominance in AI compute. Here's an exclusive look at the pitch deck it used to raise $43 million.,TensorWave wants to challenge Nvidia's dominance in AI compute by offering alternative GPU hardware from AMD that is accessible via the cloud.,https://www.businessinsider.com/pitch-deck-tensorwave-safe-funding-nvidia-amd-ai-compute-2024-10,https://i.insider.com/670405263f2165d716dede11?width=1200&format=jpeg,2024-10-08T12:02:12Z,"The TensorWave founding team believes Nvidia has a monopoly in AI compute. TensorWave
<ul><li>TensorWave has raised $43 million for its AI cloud service platform.</li><li>The Las Vegas startup offer… [+2185 chars]",tensorwave wants challenge nvidias dominance ai compute offering alternative gpu hardware amd accessible via cloud,0.2875
"{'id': None, 'name': 'VentureBeat'}",Dean Takahashi,"AMD unveils AI-infused chips across Ryzen, Instinct and Epyc brands","Speaking at an event in San Francisco, AMD CEO Lisa Su unveiled AI-infused chips across its Ryzen, Instinct and Epyc brands.",https://venturebeat.com/ai/amd-unveils-ai-infused-chips-across-ryzen-instinct-and-epyc-brands/,https://venturebeat.com/wp-content/uploads/2024/10/lisa-su-2.jpg?w=1024?w=1200&strip=all,2024-10-10T18:00:00Z,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Speaking at an event in San Francisco, AMD CEO Lisa Su unveiled AI-infu… [+22436 chars]",speaking event san francisco amd ceo lisa su unveiled aiinfused chips across ryzen instinct epyc brands,0.0
"{'id': None, 'name': 'Gizmodo.com'}",Gizmodo Deals,"As wide as your desk, this stunning Samsung monitor is 40% off for Prime Day",This monitor is perfect for gamers.,https://gizmodo.com/as-wide-as-your-desk-this-stunning-samsung-monitor-is-40-off-for-prime-day-2000508166,https://gizmodo.com/app/uploads/2024/10/samsung-odyssey-g5.jpg,2024-10-07T14:10:14Z,Samsung’s Odyssey 34-inch gaming monitor is currently available at an incredible 40% discount for Amazon Prime Day which brings its price down to just $329.99 from the original $549.99. This deal is … [+1871 chars],monitor perfect gamers,1.0
"{'id': None, 'name': 'Github.com'}",slashml,AMD Inference,Contribute to slashml/amd_inference development by creating an account on GitHub.,https://github.com/slashml/amd_inference,https://opengraph.githubassets.com/cbee7759c320e4171a1a8091f09f4fa180515f1b7c02018704c0cd537a4837cb/slashml/amd_inference,2024-10-02T07:16:10Z,"This project provides a Docker-based inference engine for running Large Language Models (LLMs) on AMD GPUs. It's designed to work with models from Hugging Face, with a focus on the LLaMA model family… [+2477 chars]",contribute slashmlamdinference development creating account github,0.0
"{'id': None, 'name': 'Amd.com'}",https://community.amd.com/t5/user/viewprofilepage/user-id/407864,AMD Unveils Its First Small Language Model AMD-135M,"In the ever-evolving landscape of artificial intelligence, large language models (LLMs) like GPT-4 and Llama have garnered significant attention for their impressive capabilities in natural language processing and generation. However, small language models (S…",https://community.amd.com/t5/ai/amd-unveils-its-first-small-language-model-amd-135m/ba-p/711368,https://community.amd.com/t5/image/serverpage/image-id/121656iB9F6F806CA73263D/image-size/original?v=v2&px=-1,2024-09-27T19:05:05Z,"In the ever-evolving landscape of artificial intelligence, large language models (LLMs) like GPT-4 and Llama have garnered significant attention for their impressive capabilities in natural language … [+4884 chars]",everevolving landscape artificial intelligence large language models llms like gpt llama garnered significant attention impressive capabilities natural language processing generation however small language models,0.1398809523809524
